"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;9;45;"Aplicação de renda fixa (CDB, RDB e outros)";"SANTANDER";"563513,95";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;10;45;"Aplicação de renda fixa (CDB, RDB e outros)";"SANTANDER CENTRUM DI";"490831,57";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;11;45;"Aplicação de renda fixa (CDB, RDB e outros)";"SANTANDER INFRA CDI";"39999,99";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;13;97;"VGBL - Vida Gerador de Benefício Livre";"BRASILPREV";"189441,42";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;12;49;"Outras aplicações e Investimentos";"BRANCO DO BRASIL - DEB RAIZEN";"25951,42";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;15;74;"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado";"BANCO DO BRASIL JP INCOME";"39791,95";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;16;49;"Outras aplicações e Investimentos";"SANTANDER COE";"50000,00";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;14;49;"Outras aplicações e Investimentos";"BANCO DO BRASIL DEB ENEVA";"25870,11";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;18;61;"Depósito bancário em conta corrente no País";"BANCO SANTANDER";"1159,81";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;17;97;"VGBL - Vida Gerador de Benefício Livre";"SANTANDER";"812037,42";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;19;49;"Outras aplicações e Investimentos";"BANCO DO BRASIL DEB CTEEP";"25670,70";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;21;45;"Aplicação de renda fixa (CDB, RDB e outros)";"BANCO DO BRASIL DI PLUS AGIL";"7390,09";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;22;61;"Depósito bancário em conta corrente no País";"BANCO DO BRASIL";"33762,09";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;20;19;"Outros bens imóveis";"1/3 DE IMÓVEL RURAL EM RIBEIRÃO GRANDE EM PINDAMONHABAGA";"20000,00";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002548140;2;12;"Casa";"BAIRRO PAVUNA - RJ";"300000,00";"20/08/2026";"17:09:44"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002548139;1;99;"OUTROS BENS E DIREITOS";"BENS IMÓVEIS: POSSE E DIREITOS SOBRE DIVERSOS IMÓVEIS FINANCIADOS JUNTO A INSTITUIÇÕES FINANCEIRAS. ¿ PARTICIPAÇÕES SOCIETÁRIAS: PARTICIPAÇÃO NO CAPITAL SOCIAL DE DIVERSAS SOCIEDADES EMPRESARIAIS.";"50000000,00";"20/08/2026";"16:45:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002548140;1;25;"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.";"JOIAS";"100000,00";"20/08/2026";"17:09:44"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;1;13;"Terreno";"TERRENO, GRUTA DE LOURDES, MACEIÓ/AL";"10121,45";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002548140;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO ETIOS 2018";"60000,00";"20/08/2026";"17:09:44"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO JEEP COMPASS 2024";"158170,42";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;5;39;"Outras participações societárias";"50% QUOTAS SOCIETÁRIA DE POSTO DE COMBUSTÍVEL (ESPÓLIO)";"27345,31";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;3;11;"Apartamento";"21,36% DE APARTAMENTO, PONTA VERDE, MACEIÓ/AL (ESPÓLIO)";"26457,22";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;4;41;"Caderneta de poupança";"SALDO CONTA POUPANÇA - BANCO DO BRASIL";"144,29";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;8;12;"Casa";"50% DE CASA, GRUTA DE LOURDES, MACEIÓ/AL (ESPÓLIO)";"31542,72";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;6;13;"Terreno";"50% DE TERRENO, GRUTA DE LOURDES, MACEIÓ/AL (ESPÓLIO)";"4833,83";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;7;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO VW PASSAT 2018";"120000,00";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;9;61;"Depósito bancário em conta corrente no País";"BANCOS DIVERSOS";"27065,48";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;10;12;"Casa";"CASA, GRUTA DE LOURDES, MACEIÓ/AL";"63085,44";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551543;11;12;"Casa";"CASA, MARECHAL DEODORO/AL";"95900,00";"21/08/2026";"16:26:36"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551544;3;79;"Outros fundos";"FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO FIFCIC RL";"1090520,47";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551544;2;39;"Outras participações societárias";"QUOTA E QUINHÃO DE CAPITAL";"46000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551544;1;12;"Casa";"CASA, LAGO SUL, BRASÍLIA";"6226043,80";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551544;4;45;"Aplicação de renda fixa (CDB, RDB e outros)";"APLICAÇÃO EM CDB - BANCO DO BRASIL";"8266,10";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551544;5;39;"Outras participações societárias";"QUOTA OU QUINHÃO DE CAPITAL - SOCIEDADE INDIVIDUAL DE ADVOCACIA";"10000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551544;6;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO  2014";"133000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551544;9;61;"Depósito bancário em conta corrente no País";"BANCOS DIVERSOS";"568730,23";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002551544;7;39;"Outras participações societárias";"QUOTA OU QUINHÃO DE CAPITAL";"249,00";"18/08/2026";"21:22:25"
