candidato;codigo_materia;dados_tramitacao
FLAVIO_BOLSONARO;171374;
FLAVIO_BOLSONARO;151211;
FLAVIO_BOLSONARO;170925;
FLAVIO_BOLSONARO;172830;
FLAVIO_BOLSONARO;135977;
FLAVIO_BOLSONARO;148903;
FLAVIO_BOLSONARO;156419;
FLAVIO_BOLSONARO;160031;
FLAVIO_BOLSONARO;161010;
FLAVIO_BOLSONARO;168631;
FLAVIO_BOLSONARO;170938;
FLAVIO_BOLSONARO;164051;
FLAVIO_BOLSONARO;165961;
FLAVIO_BOLSONARO;167543;
FLAVIO_BOLSONARO;165252;
FLAVIO_BOLSONARO;162620;
FLAVIO_BOLSONARO;135360;
FLAVIO_BOLSONARO;139194;
FLAVIO_BOLSONARO;152626;
FLAVIO_BOLSONARO;155366;
FLAVIO_BOLSONARO;156568;
FLAVIO_BOLSONARO;156308;
FLAVIO_BOLSONARO;156050;
FLAVIO_BOLSONARO;156769;
FLAVIO_BOLSONARO;156820;
FLAVIO_BOLSONARO;158046;
FLAVIO_BOLSONARO;159933;
FLAVIO_BOLSONARO;160817;
FLAVIO_BOLSONARO;170946;
FLAVIO_BOLSONARO;171485;
FLAVIO_BOLSONARO;135289;
FLAVIO_BOLSONARO;164606;
FLAVIO_BOLSONARO;173828;
FLAVIO_BOLSONARO;148097;
FLAVIO_BOLSONARO;168298;
FLAVIO_BOLSONARO;136894;
FLAVIO_BOLSONARO;138702;
FLAVIO_BOLSONARO;150780;
FLAVIO_BOLSONARO;156607;
FLAVIO_BOLSONARO;158350;
FLAVIO_BOLSONARO;160544;
FLAVIO_BOLSONARO;160728;
FLAVIO_BOLSONARO;164695;
FLAVIO_BOLSONARO;168003;
FLAVIO_BOLSONARO;162103;
FLAVIO_BOLSONARO;166631;
FLAVIO_BOLSONARO;166086;
FLAVIO_BOLSONARO;135156;
FLAVIO_BOLSONARO;135253;
FLAVIO_BOLSONARO;136251;
FLAVIO_BOLSONARO;136970;
FLAVIO_BOLSONARO;156014;
FLAVIO_BOLSONARO;156612;
FLAVIO_BOLSONARO;156391;
FLAVIO_BOLSONARO;168476;
FLAVIO_BOLSONARO;170769;
FLAVIO_BOLSONARO;168730;
FLAVIO_BOLSONARO;170924;
FLAVIO_BOLSONARO;170829;
FLAVIO_BOLSONARO;169535;
FLAVIO_BOLSONARO;163593;
FLAVIO_BOLSONARO;136004;
FLAVIO_BOLSONARO;135904;
FLAVIO_BOLSONARO;139404;
FLAVIO_BOLSONARO;150226;
FLAVIO_BOLSONARO;154946;
FLAVIO_BOLSONARO;156516;
FLAVIO_BOLSONARO;156640;
FLAVIO_BOLSONARO;163547;
FLAVIO_BOLSONARO;167177;
FLAVIO_BOLSONARO;136599;
FLAVIO_BOLSONARO;142510;
FLAVIO_BOLSONARO;144656;
FLAVIO_BOLSONARO;135192;
FLAVIO_BOLSONARO;151791;
FLAVIO_BOLSONARO;152322;
FLAVIO_BOLSONARO;155842;
FLAVIO_BOLSONARO;156644;
FLAVIO_BOLSONARO;157311;
FLAVIO_BOLSONARO;170493;
FLAVIO_BOLSONARO;167877;
FLAVIO_BOLSONARO;163371;
FLAVIO_BOLSONARO;163837;
FLAVIO_BOLSONARO;168703;
FLAVIO_BOLSONARO;173278;
FLAVIO_BOLSONARO;174772;
FLAVIO_BOLSONARO;135687;
FLAVIO_BOLSONARO;136440;
FLAVIO_BOLSONARO;138166;
FLAVIO_BOLSONARO;139705;
FLAVIO_BOLSONARO;140059;
FLAVIO_BOLSONARO;140639;
FLAVIO_BOLSONARO;157416;
FLAVIO_BOLSONARO;158796;
FLAVIO_BOLSONARO;158161;
FLAVIO_BOLSONARO;159327;
FLAVIO_BOLSONARO;167158;
FLAVIO_BOLSONARO;172949;
FLAVIO_BOLSONARO;172956;
FLAVIO_BOLSONARO;171933;
FLAVIO_BOLSONARO;175586;
FLAVIO_BOLSONARO;175273;
FLAVIO_BOLSONARO;135155;
FLAVIO_BOLSONARO;136764;
FLAVIO_BOLSONARO;137699;
FLAVIO_BOLSONARO;139039;
FLAVIO_BOLSONARO;142534;
FLAVIO_BOLSONARO;152627;
FLAVIO_BOLSONARO;155365;
FLAVIO_BOLSONARO;156437;
FLAVIO_BOLSONARO;171592;
FLAVIO_BOLSONARO;171429;
FLAVIO_BOLSONARO;148048;
FLAVIO_BOLSONARO;160194;
FLAVIO_BOLSONARO;165704;
FLAVIO_BOLSONARO;167913;
FLAVIO_BOLSONARO;167511;
FLAVIO_BOLSONARO;163592;
FLAVIO_BOLSONARO;137241;
FLAVIO_BOLSONARO;137080;
FLAVIO_BOLSONARO;138227;
FLAVIO_BOLSONARO;139327;
FLAVIO_BOLSONARO;139706;
FLAVIO_BOLSONARO;152773;
FLAVIO_BOLSONARO;154105;
FLAVIO_BOLSONARO;156481;
FLAVIO_BOLSONARO;155529;
FLAVIO_BOLSONARO;159095;
FLAVIO_BOLSONARO;158928;
FLAVIO_BOLSONARO;160933;
FLAVIO_BOLSONARO;163043;
FLAVIO_BOLSONARO;169835;
FLAVIO_BOLSONARO;169787;
FLAVIO_BOLSONARO;162750;
RONALDO_CAIADO;120361;
RONALDO_CAIADO;124017;
RONALDO_CAIADO;126981;
RONALDO_CAIADO;125331;
RONALDO_CAIADO;120262;
RONALDO_CAIADO;127686;
RONALDO_CAIADO;124779;
RONALDO_CAIADO;124176;
RONALDO_CAIADO;123764;
RONALDO_CAIADO;127749;
RONALDO_CAIADO;123834;
RONALDO_CAIADO;124840;
RONALDO_CAIADO;121704;
RONALDO_CAIADO;120162;
RONALDO_CAIADO;121994;
RONALDO_CAIADO;122879;
RONALDO_CAIADO;120071;
